Hours,WT 1,WT 2,WT 3,DHNOX 1,DHNOX 2,DHNOX 3
0,0.044,0.045,0.05,0.043,0.044,0.045
4,0.281,0.246,0.244,0.218,0.233,0.239
8,0.569,0.525,0.531,0.62,0.567,0.522
12,0.812,0.788,0.748,0.744,0.782,0.73
16,1.191,1.071,1.063,1.252,1.086,1.042
20,1.438,1.414,1.223,1.53,1.309,1.32
24,1.614,1.575,1.505,1.712,1.538,1.516
28,1.972,1.748,1.555,1.806,1.746,1.676
32,2.189,2.181,1.765,2.198,1.952,1.93
36,2.488,2.348,1.914,2.344,2.174,2.151
40,2.671,2.674,2.118,2.52,2.428,2.299
44,2.991,2.866,2.881,2.783,2.59,2.542
48,3.062,3.022,3.049,2.912,2.816,2.693
52,3.326,3.209,3.298,3.089,2.906,2.892
56,3.565,3.451,3.514,3.323,3.281,3.119
60,3.721,3.617,3.735,3.456,3.456,3.366
64,3.897,3.837,3.604,3.646,3.627,3.542
68,3.951,4.096,3.882,3.925,3.776,3.711
72,4.233,4.157,3.928,4.169,3.79,3.85
76,4.327,4.109,4.292,4.223,3.916,4.026
